,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,DISTANCE
7337,1,6,AS,SEA,ANC,1149.0,0.0,1100-1159,1444.0,0.0,1448.0
7338,1,6,AS,ADK,ANC,1629.0,0.0,1600-1659,2001.0,0.0,1192.0
7339,1,6,AS,ANC,ADK,1322.0,0.0,1300-1359,1522.0,0.0,1192.0
7340,1,6,AS,SEA,AUS,1108.0,1.0,1000-1059,1702.0,1.0,1770.0
7341,1,6,AS,ANC,FAI,2320.0,1.0,2300-2359,13.0,0.0,261.0
7342,1,6,AS,ANC,PHX,2338.0,0.0,2300-2359,647.0,0.0,2552.0
7343,1,6,AS,JNU,SEA,504.0,0.0,0001-0559,838.0,0.0,909.0
7344,1,6,AS,ANC,FAI,1518.0,0.0,1500-1559,1610.0,0.0,261.0
7345,1,6,AS,ANC,JNU,2226.0,0.0,2200-2259,10.0,0.0,571.0
7346,1,6,AS,SEA,ANC,2344.0,0.0,2300-2359,224.0,0.0,1448.0
7347,1,6,AS,ANC,FAI,741.0,0.0,0700-0759,839.0,0.0,261.0
7348,1,6,AS,FAI,ANC,1717.0,0.0,1700-1759,1807.0,0.0,261.0
7349,1,6,AS,FAI,ANC,934.0,0.0,0900-0959,1030.0,0.0,261.0
7350,1,6,AS,LAX,ANC,2315.0,0.0,2300-2359,343.0,0.0,2345.0
7351,1,6,AS,FAI,ANC,2058.0,0.0,2100-2159,2202.0,0.0,261.0
7352,1,6,AS,KOA,SAN,1557.0,0.0,1600-1659,2321.0,0.0,2556.0
7353,1,6,AS,OAK,SEA,1259.0,1.0,1200-1259,1451.0,0.0,672.0
7354,1,6,AS,EWR,LAX,823.0,1.0,0700-0759,1124.0,0.0,2454.0
7355,1,6,AS,SFO,PDX,1438.0,0.0,1400-1459,1609.0,0.0,550.0
7356,1,6,AS,SAN,SEA,1829.0,0.0,1800-1859,2110.0,0.0,1050.0
7357,1,6,AS,JFK,LAX,1906.0,0.0,1900-1959,2201.0,0.0,2475.0
7358,1,6,AS,SAN,KOA,716.0,0.0,0700-0759,1108.0,0.0,2556.0
7359,1,6,AS,GEG,SEA,1147.0,0.0,1200-1259,1315.0,0.0,224.0
7360,1,6,AS,AUS,SJC,805.0,0.0,0800-0859,946.0,0.0,1476.0
7361,1,6,AS,SEA,SFO,1416.0,1.0,1300-1359,1631.0,1.0,679.0
7362,1,6,AS,SJC,AUS,942.0,0.0,0900-0959,1527.0,0.0,1476.0
7363,1,6,AS,SEA,LAX,612.0,0.0,0600-0659,856.0,0.0,954.0
7364,1,6,AS,SJC,SEA,1758.0,0.0,1800-1859,2004.0,0.0,696.0
7365,1,6,AS,SJC,SEA,558.0,0.0,0600-0659,831.0,0.0,696.0
7366,1,6,AS,SJC,SEA,1216.0,0.0,1200-1259,1419.0,0.0,696.0
7367,1,6,AS,LAX,FLL,926.0,0.0,0900-0959,1750.0,1.0,2343.0
7368,1,6,AS,SFO,EWR,2123.0,0.0,2100-2159,539.0,0.0,2565.0
7369,1,6,AS,OAK,SEA,1827.0,0.0,1800-1859,2025.0,0.0,672.0
7370,1,6,AS,FLL,LAX,2103.0,1.0,1900-1959,2332.0,1.0,2343.0
7371,1,6,AS,PDX,SNA,621.0,0.0,0600-0659,856.0,0.0,859.0
7372,1,6,AS,MCO,SAN,1828.0,0.0,1800-1859,2029.0,0.0,2149.0
7373,1,6,AS,SFO,EWR,658.0,0.0,0700-0759,1529.0,0.0,2565.0
7374,1,6,AS,EWR,LAX,1553.0,0.0,1600-1659,1846.0,0.0,2454.0
7375,1,6,AS,SEA,SJC,643.0,0.0,0600-0659,853.0,0.0,696.0
7376,1,6,AS,LAX,SEA,2006.0,1.0,1900-1959,2239.0,0.0,954.0
7377,1,6,AS,SEA,IAH,1157.0,0.0,1200-1259,1834.0,0.0,1874.0
7378,1,6,AS,SFO,SEA,1720.0,0.0,1700-1759,1919.0,0.0,679.0
7379,1,6,AS,EWR,SFO,2058.0,1.0,0700-0759,8.0,1.0,2565.0
7380,1,6,AS,LAX,PDX,957.0,0.0,1000-1059,1215.0,0.0,834.0
7381,1,6,AS,SEA,OAK,1528.0,0.0,1500-1559,1741.0,0.0,672.0
7382,1,6,AS,PDX,SAN,1714.0,0.0,1700-1759,2000.0,1.0,933.0
7383,1,6,AS,EWR,SFO,1732.0,0.0,1700-1759,2042.0,0.0,2565.0
7384,1,6,AS,SFO,SEA,1113.0,1.0,1000-1059,1324.0,1.0,679.0
7385,1,6,AS,SFO,PDX,855.0,0.0,0900-0959,1043.0,0.0,550.0
7386,1,6,AS,PDX,SFO,1646.0,0.0,1600-1659,1843.0,0.0,550.0
7387,1,6,AS,SEA,PSP,836.0,1.0,0800-0859,1114.0,1.0,987.0
7388,1,6,AS,SEA,PSP,2109.0,0.0,2100-2159,2346.0,0.0,987.0
7389,1,6,AS,SEA,LAX,1610.0,1.0,1500-1559,1850.0,1.0,954.0
7390,1,6,AS,SEA,LAX,1140.0,0.0,1100-1159,1417.0,0.0,954.0
7391,1,6,AS,LAX,JFK,657.0,0.0,0700-0759,1534.0,0.0,2475.0
7392,1,6,AS,JFK,LAX,1257.0,0.0,1300-1359,1537.0,0.0,2475.0
7393,1,6,AS,PDX,SJC,1456.0,0.0,1500-1559,1644.0,0.0,569.0
7394,1,6,AS,LAX,SEA,1007.0,1.0,0900-0959,1256.0,0.0,954.0
7395,1,6,AS,SEA,LAX,803.0,0.0,0800-0859,1111.0,1.0,954.0
7396,1,6,AS,PHX,SEA,1231.0,0.0,1200-1259,1430.0,0.0,1107.0
7397,1,6,AS,JFK,LAX,1718.0,0.0,1700-1759,2007.0,0.0,2475.0
7398,1,6,AS,PDX,SFO,2004.0,0.0,2000-2059,2151.0,0.0,550.0
7399,1,6,AS,PDX,SFO,1233.0,1.0,1100-1159,1420.0,1.0,550.0
